model,feature_set,sample_size,accuracy,roc_auc,f1,pr_auc,train_time_s,predict_time_s,note
Decision Tree,Raw 28D,1000000,0.701235,0.7719776523359296,0.700857216387449,0.7834261571244518,18.15,0.03,
k-NN,Raw 28D,1000000,,,,,,,Skipped
Linear SVM,Raw 28D,1000000,0.639885,0.6824488761156772,0.6344562457733506,0.681471067557588,4.73,0.04,
RBF SVM,Raw 28D,1000000,,,,,,,Skipped
Random Forest,Raw 28D,1000000,0.732085,0.8124412712030127,0.7318814043833699,0.8283177545916631,63.16,0.76,
XGBoost,Raw 28D,1000000,0.737395,0.8184611720985382,0.7372361110769227,0.8335658801235282,6.38,0.09,
Decision Tree,PCA 10D,1000000,0.60937,0.6477860758637797,0.5998770148415384,0.6491838085386845,10.7,0.02,
k-NN,PCA 10D,1000000,,,,,,,Skipped
Linear SVM,PCA 10D,1000000,0.55558,0.5640395709713542,0.5318267340938982,0.5801874557866453,0.51,0.02,
RBF SVM,PCA 10D,1000000,,,,,,,Skipped
Random Forest,PCA 10D,1000000,0.643435,0.6965179926940127,0.6394419594586782,0.7070145109668371,54.27,0.51,
XGBoost,PCA 10D,1000000,0.64118,0.6922791012889853,0.637421440990501,0.7012502173130561,3.85,0.08,
